Name ,Type
5-hydroxytryptophan,Other
5-hydroxytryptophan / magnesium / melatonin / tryptophan / vitamin b6,Other
alanine / arginine / aspartate / glutamate / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / tyrosine / valine,Other
alanine / arginine / calcium / potassium / glucose / glycine / histidine / isoleucine / leucine / lysine / magnesium / methionine / phenylalanine / proline / serine / sodium / threonine / tryptophan / tyrosine / valine,Other
alanine / arginine / glucose / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / tyrosine / valine,Other
alanine / arginine / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / tyrosine / valine,Other
amitriptyline,TCA
amitriptyline / chlordiazepoxide,TCA
amitriptyline / perphenazine,TCA
amoxapine,TCA
bupropion,Atypical
bupropion / naltrexone,Atypical
citalopram,SSRI
clomipramine,TCA
desipramine,TCA
desvenlafaxine,SNRI
doxepin,TCA
duloxetine,SNRI
escitalopram,SSRI
esketamine,Other
fluoxetine,SSRI
fluoxetine / olanzapine,SSRI
fluvoxamine,SSRI
imipramine,TCA
isocarboxazid,MAOI
maprotiline,TCA
milnacipran,SNRI
mirtazapine,Atypical
nefazodone,Atypical
nortriptyline,TCA
paroxetine,SSRI
phenelzine,MAOI
protriptyline,TCA
sertraline,SSRI
tranylcypromine,MAOI
trazodone,Atypical
trimipramine,TCA
tryptophan,Other
venlafaxine,SNRI
vilazodone,SSRI
viloxazine,Other
vortioxetine,SSRI
