ATC_code,Name,Category_Level_4,Category_Level_3,Category_Level_2,Category_Level_1
A03AB06,octylonium,"Synthetic anticholinergics, quaternary ammonium compounds",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ALIMENTARY TRACT AND METABOLISM
A03AX10,isometheptene,Other drugs for functional gastrointestinal disorders,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ALIMENTARY TRACT AND METABOLISM
A03BA01,atropine,"Belladonna alkaloids, tertiary amines","BELLADONNA AND DERIVATIVES, PLAIN",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ALIMENTARY TRACT AND METABOLISM
A03BA03,hyoscyamine,"Belladonna alkaloids, tertiary amines","BELLADONNA AND DERIVATIVES, PLAIN",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ALIMENTARY TRACT AND METABOLISM
A03BA04,belladonna,"Belladonna alkaloids, tertiary amines","BELLADONNA AND DERIVATIVES, PLAIN",DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ALIMENTARY TRACT AND METABOLISM
A10AD01,insulin,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",INSULINS AND ANALOGUES,DRUGS USED IN DIABETES,ALIMENTARY TRACT AND METABOLISM
A11GB01,ascorbic acid (vit C) and calcium,"Ascorbic acid (vitamin C), combinations","ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",VITAMINS,ALIMENTARY TRACT AND METABOLISM
A11HA02,vitamin B6,Other plain vitamin preparations,OTHER PLAIN VITAMIN PREPARATIONS,VITAMINS,ALIMENTARY TRACT AND METABOLISM
A12CC00,magnesium,Magnesium,OTHER MINERAL SUPPLEMENTS,MINERAL SUPPLEMENTS,ALIMENTARY TRACT AND METABOLISM
A16AX01,thioctic acid,Various alimentary tract and metabolism products,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,ALIMENTARY TRACT AND METABOLISM
B01AC06,aspirin,Platelet aggregation inhibitors excl. heparin,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,BLOOD AND BLOOD FORMING ORGANS
B03BA01,vitamin B12,Vitamin B12 (cyanocobalamin and analogues),VITAMIN B12 AND FOLIC ACID,ANTIANEMIC PREPARATIONS,BLOOD AND BLOOD FORMING ORGANS
B05AA05,dextran,Blood substitutes and plasma protein fractions,BLOOD AND RELATED PRODUCTS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,BLOOD AND BLOOD FORMING ORGANS
B05BA01,amino acids,Solutions for parenteral nutrition,I.V. SOLUTIONS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,BLOOD AND BLOOD FORMING ORGANS
C07AB04,acebutolol,"Beta blocking agents, selective",BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,CARDIOVASCULAR SYSTEM
C10AA02,lovastatin,HMG CoA reductase inhibitors,"LIPID MODIFYING AGENTS, PLAIN",LIPID MODIFYING AGENTS,CARDIOVASCULAR SYSTEM
C10AX06,omega-3-triglycerides incl. other esters and acids,Other lipid modifying agents,"LIPID MODIFYING AGENTS, PLAIN",LIPID MODIFYING AGENTS,CARDIOVASCULAR SYSTEM
D04AA32,diphenhydramine,Antihistamines for topical use,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",DERMATOLOGICALS
G03CX00,estrogens,Other estrogens,ESTROGENS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
G03GA01,chorionic gonadotropin,Gonadotropins,GONADOTROPINS AND OTHER OVULATION STIMULANTS,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GENITO URINARY SYSTEM AND SEX HORMONES
J01CF06,nafcillin,Beta-lactamase resistant penicillins,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01DC02,cefuroxime,Second-generation cephalosporins,OTHER BETA-LACTAM ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01GB06,amikacin,Other aminoglycosides,AMINOGLYCOSIDE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
J01MA02,ciprofloxacin,Fluoroquinolones,QUINOLONE ANTIBACTERIALS,ANTIBACTERIALS FOR SYSTEMIC USE,ANTIINFECTIVES FOR SYSTEMIC USE
L04AD01,ciclosporin,Calcineurin inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
M01AX01,nabumetone,"Other antiinflammatory and antirheumatic agents, non-steroids","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,MUSCULO-SKELETAL SYSTEM
M03BC01,orphenadrine,"Ethers, chemically close to antihistamines","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",MUSCLE RELAXANTS,MUSCULO-SKELETAL SYSTEM
N02AA08,dihydrocodeine,Natural opium alkaloids,OPIOIDS,ANALGESICS,NERVOUS SYSTEM
N02AX00,propoxyphene,Other opioids,OPIOIDS,ANALGESICS,NERVOUS SYSTEM
N02BA04,sodium salicylate,Salicylic acid and derivatives,OTHER ANALGESICS AND ANTIPYRETICS,ANALGESICS,NERVOUS SYSTEM
N02BA05,salicylamide,Salicylic acid and derivatives,OTHER ANALGESICS AND ANTIPYRETICS,ANALGESICS,NERVOUS SYSTEM
N02BE01,acetaminophen,Anilides,OTHER ANALGESICS AND ANTIPYRETICS,ANALGESICS,NERVOUS SYSTEM
N02CA02,ergotamine,Ergot alkaloids,ANTIMIGRAINE PREPARATIONS,ANALGESICS,NERVOUS SYSTEM
N03AA02,phenobarbital,Barbiturates and derivatives,ANTIEPILEPTICS,ANTIEPILEPTICS,NERVOUS SYSTEM
N03AF01,carbamazepine,Carboxamide derivatives,ANTIEPILEPTICS,ANTIEPILEPTICS,NERVOUS SYSTEM
N05AA01,chlorpromazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AA02,levomepromazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AA03,promazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AA04,acepromazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AA05,triflupromazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AA06,cyamemazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AA07,chlorproethazine,Phenothiazines with aliphatic side-chain,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB01,dixyrazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB02,fluphenazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB03,perphenazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB04,prochlorperazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB05,thiopropazate,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB06,trifluoperazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB07,acetophenazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB08,thioproperazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB09,butaperazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AB10,perazine,Phenothiazines with piperazine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AC01,periciazine,Phenothiazines with piperidine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AC02,thioridazine,Phenothiazines with piperidine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AC03,mesoridazine,Phenothiazines with piperidine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AC04,pipotiazine,Phenothiazines with piperidine structure,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD01,haloperidol,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD02,trifluperidol,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD03,melperone,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD04,moperone,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD05,pipamperone,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD06,bromperidol,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD07,benperidol,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD08,droperidol,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD09,fluanisone,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AD10,lumateperone,Butyrophenone derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AE01,oxypertine,Indole derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AE02,molindone,Indole derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AE03,sertindole,Indole derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AE04,ziprasidone,Indole derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AE05,lurasidone,Indole derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AF01,flupentixol,Thioxanthene derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AF02,clopenthixol,Thioxanthene derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
N05AF03,chlorprothixene,Thioxanthene derivatives,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
