table,column,type,format
diag_table,PatientDurableKey,character,
diag_table,MDD_FirstDiagnosis,date,%Y-%m-%d
diag_table,T2DM_with_Complications_FirstDiagnosis,date,%Y-%m-%d
diag_table,Bariatric_Surgery_FirstDiagnosis,date,%Y-%m-%d
diag_table,ADHD_FirstDiagnosis,date,%Y-%m-%d
diag_table,Agoraphobia_FirstDiagnosis,date,%Y-%m-%d
diag_table,Alcohol_Abuse_FirstDiagnosis,date,%Y-%m-%d
diag_table,Alcohol_Dependence_FirstDiagnosis,date,%Y-%m-%d
diag_table,Anxiety_Disorder_NOS_FirstDiagnosis,date,%Y-%m-%d
diag_table,Cannabis_Abuse_FirstDiagnosis,date,%Y-%m-%d
diag_table,Cannabis_Dependence_FirstDiagnosis,date,%Y-%m-%d
diag_table,Cocaine_Abuse_FirstDiagnosis,date,%Y-%m-%d
diag_table,Cocaine_Dependence_FirstDiagnosis,date,%Y-%m-%d
diag_table,Diseases_of_the_Arteries_Artrioles_and_Capillaries_FirstDiagnosis,date,%Y-%m-%d
diag_table,Generalized_Anxiety_FirstDiagnosis,date,%Y-%m-%d
diag_table,OCD_FirstDiagnosis,date,%Y-%m-%d
diag_table,Opioid_Abuse_FirstDiagnosis,date,%Y-%m-%d
diag_table,Opioid_Dependence_FirstDiagnosis,date,%Y-%m-%d
diag_table,Panic_Disorder_FirstDiagnosis,date,%Y-%m-%d
diag_table,PTSD_FirstDiagnosis,date,%Y-%m-%d
diag_table,Sedative_Abuse_FirstDiagnosis,date,%Y-%m-%d
diag_table,Sedative_Dependence_FirstDiagnosis,date,%Y-%m-%d
diag_table,Social_Anxiety_Disorder_FirstDiagnosis,date,%Y-%m-%d
diag_table,Tobacco_Use_Disorder_FirstDiagnosis,date,%Y-%m-%d
diag_table,A1C_over_8p5_FirstDiagnosis,date,%Y-%m-%d
diag_table,Chronic_Kidney_Disease_FirstDiagnosis,date,%Y-%m-%d
diag_table,Gastroparesis_FirstDiagnosis,date,%Y-%m-%d
diag_table,Heart_Disease_FirstDiagnosis,date,%Y-%m-%d
diag_table,Hypercholesterolemia_FirstDiagnosis,date,%Y-%m-%d
diag_table,Hyperlipidemia_FirstDiagnosis,date,%Y-%m-%d
diag_table,Hypertension_FirstDiagnosis,date,%Y-%m-%d
diag_table,Obesity_FirstDiagnosis,date,%Y-%m-%d
diag_table,Pancreatitis_FirstDiagnosis,date,%Y-%m-%d
diag_table,Stroke_FirstDiagnosis,date,%Y-%m-%d
diag_table,T1DM_FirstDiagnosis,date,%Y-%m-%d
diag_table,T2DM_FirstDiagnosis,date,%Y-%m-%d
diag_table,Thyroid_Cancer_FirstDiagnosis,date,%Y-%m-%d
dte_cohort_data,PatientDurableKey,character,
dte_cohort_data,Semaglutide_PreIndexEncounterCount,integer,
dte_cohort_data,Semaglutide_PostIndexEncounterCount,integer,
dte_cohort_data,Insulins_PreIndexEncounterCount,integer,
dte_cohort_data,Insulins_PostIndexEncounterCount,integer,
dte_cohort_data,DPP4i_PreIndexEncounterCount,integer,
dte_cohort_data,DPP4i_PostIndexEncounterCount,integer,
dte_cohort_data,GLP1RA_PreIndexEncounterCount,integer,
dte_cohort_data,GLP1RA_PostIndexEncounterCount,integer,
dte_cohort_data,Metformin_PreIndexEncounterCount,integer,
dte_cohort_data,Metformin_PostIndexEncounterCount,integer,
dte_cohort_data,TZD_PreIndexEncounterCount,integer,
dte_cohort_data,TZD_PostIndexEncounterCount,integer,
dte_cohort_data,SU_PreIndexEncounterCount,integer,
dte_cohort_data,SU_PostIndexEncounterCount,integer,
dte_cohort_data,SGLT2i_PreIndexEncounterCount,integer,
dte_cohort_data,SGLT2i_PostIndexEncounterCount,integer,
dte_cohort_data,Semaglutide_Population_for_Semaglutide_vs_Insulins,logical,
dte_cohort_data,Semaglutide_Population_for_Semaglutide_vs_DPP4i,logical,
dte_cohort_data,Semaglutide_Population_for_Semaglutide_vs_GLP1RA,logical,
dte_cohort_data,Semaglutide_Population_for_Semaglutide_vs_Metformin,logical,
dte_cohort_data,Semaglutide_Population_for_Semaglutide_vs_SGLT2i,logical,
dte_cohort_data,Semaglutide_Population_for_Semaglutide_vs_SU,logical,
dte_cohort_data,Semaglutide_Population_for_Semaglutide_vs_TZD,logical,
dte_cohort_data,Insulins_Population_for_Semaglutide_vs_Insulins,logical,
dte_cohort_data,DPP4i_Population_for_Semaglutide_vs_DPP4i,logical,
dte_cohort_data,GLP1RA_Population_for_Semaglutide_vs_GLP1RA,logical,
dte_cohort_data,Metformin_Population_for_Semaglutide_vs_Metformin,logical,
dte_cohort_data,SGLT2i_Population_for_Semaglutide_vs_SGLT2i,logical,
dte_cohort_data,SU_Population_for_Semaglutide_vs_SU,logical,
dte_cohort_data,TZD_Population_for_Semaglutide_vs_TZD,logical,
dte_cohort_data,Semaglutide_meets_timeline_criteria,logical,
dte_cohort_data,Insulins_meets_timeline_criteria,logical,
dte_cohort_data,DPP4i_meets_timeline_criteria,logical,
dte_cohort_data,GLP1RA_meets_timeline_criteria,logical,
dte_cohort_data,Metformin_meets_timeline_criteria,logical,
dte_cohort_data,SGLT2i_meets_timeline_criteria,logical,
dte_cohort_data,SU_meets_timeline_criteria,logical,
dte_cohort_data,TZD_meets_timeline_criteria,logical,
dte_cohort_data,DPP4i_Overlaps_Semaglutide_Index,logical,
dte_cohort_data,GLP1RA_Overlaps_Semaglutide_Index,logical,
dte_cohort_data,Insulins_Overlaps_Semaglutide_Index,logical,
dte_cohort_data,Metformin_Overlaps_Semaglutide_Index,logical,
dte_cohort_data,SGLT2i_Overlaps_Semaglutide_Index,logical,
dte_cohort_data,SU_Overlaps_Semaglutide_Index,logical,
dte_cohort_data,TZD_Overlaps_Semaglutide_Index,logical,
dte_cohort_data,DPP4i_Overlaps_Insulins_Index,logical,
dte_cohort_data,GLP1RA_Overlaps_Insulins_Index,logical,
dte_cohort_data,Metformin_Overlaps_Insulins_Index,logical,
dte_cohort_data,Semaglutide_Overlaps_Insulins_Index,logical,
dte_cohort_data,SGLT2i_Overlaps_Insulins_Index,logical,
dte_cohort_data,SU_Overlaps_Insulins_Index,logical,
dte_cohort_data,TZD_Overlaps_Insulins_Index,logical,
dte_cohort_data,DPP4i_Overlaps_Metformin_Index,logical,
dte_cohort_data,GLP1RA_Overlaps_Metformin_Index,logical,
dte_cohort_data,Insulins_Overlaps_Metformin_Index,logical,
dte_cohort_data,Semaglutide_Overlaps_Metformin_Index,logical,
dte_cohort_data,SGLT2i_Overlaps_Metformin_Index,logical,
dte_cohort_data,SU_Overlaps_Metformin_Index,logical,
dte_cohort_data,TZD_Overlaps_Metformin_Index,logical,
dte_cohort_data,GLP1RA_Overlaps_DPP4i_Index,logical,
dte_cohort_data,Insulins_Overlaps_DPP4i_Index,logical,
dte_cohort_data,Metformin_Overlaps_DPP4i_Index,logical,
dte_cohort_data,Semaglutide_Overlaps_DPP4i_Index,logical,
dte_cohort_data,SGLT2i_Overlaps_DPP4i_Index,logical,
dte_cohort_data,SU_Overlaps_DPP4i_Index,logical,
dte_cohort_data,TZD_Overlaps_DPP4i_Index,logical,
dte_cohort_data,DPP4i_Overlaps_SGLT2i_Index,logical,
dte_cohort_data,GLP1RA_Overlaps_SGLT2i_Index,logical,
dte_cohort_data,Insulins_Overlaps_SGLT2i_Index,logical,
dte_cohort_data,Metformin_Overlaps_SGLT2i_Index,logical,
dte_cohort_data,Semaglutide_Overlaps_SGLT2i_Index,logical,
dte_cohort_data,SU_Overlaps_SGLT2i_Index,logical,
dte_cohort_data,TZD_Overlaps_SGLT2i_Index,logical,
dte_cohort_data,DPP4i_Overlaps_SU_Index,logical,
dte_cohort_data,GLP1RA_Overlaps_SU_Index,logical,
dte_cohort_data,Insulins_Overlaps_SU_Index,logical,
dte_cohort_data,Metformin_Overlaps_SU_Index,logical,
dte_cohort_data,Semaglutide_Overlaps_SU_Index,logical,
dte_cohort_data,SGLT2i_Overlaps_SU_Index,logical,
dte_cohort_data,TZD_Overlaps_SU_Index,logical,
dte_cohort_data,DPP4i_Overlaps_TZD_Index,logical,
dte_cohort_data,GLP1RA_Overlaps_TZD_Index,logical,
dte_cohort_data,Insulins_Overlaps_TZD_Index,logical,
dte_cohort_data,Metformin_Overlaps_TZD_Index,logical,
dte_cohort_data,Semaglutide_Overlaps_TZD_Index,logical,
dte_cohort_data,SGLT2i_Overlaps_TZD_Index,logical,
dte_cohort_data,SU_Overlaps_TZD_Index,logical,
dte_cohort_data,DPP4i_Overlaps_GLP1RA_Index,logical,
dte_cohort_data,Insulins_Overlaps_GLP1RA_Index,logical,
dte_cohort_data,Metformin_Overlaps_GLP1RA_Index,logical,
dte_cohort_data,Semaglutide_Overlaps_GLP1RA_Index,logical,
dte_cohort_data,SGLT2i_Overlaps_GLP1RA_Index,logical,
