table,raw_name,canonical_name,subclass
antidepressant,Amitriptyline HCl,amitriptyline,
antidepressant,Amoxapine,amoxapine,
antidepressant,buPROPion HBr,bupropion,
antidepressant,buPROPion HCl,bupropion,
antidepressant,Citalopram Hydrobromide,citalopram,
antidepressant,clomiPRAMINE HCl,clomipramine,
antidepressant,Desipramine HCl,desipramine,
antidepressant,Desvenlafaxine,desvenlafaxine,
antidepressant,Desvenlafaxine Fumarate,desvenlafaxine,
antidepressant,Desvenlafaxine Succinate,desvenlafaxine,
antidepressant,Dextromethorphan-Bupropion,bupropion,
antidepressant,Doxepin HCl,doxepin,
antidepressant,DULoxetine HCl,duloxetine,
antidepressant,Escitalopram Oxalate,escitalopram,
antidepressant,Esketamine HCl,esketamine,
antidepressant,FLUoxetine HCl,fluoxetine,
antidepressant,fluvoxaMINE Maleate,fluvoxamine,
antidepressant,Imipramine HCl,imipramine,
antidepressant,Imipramine Pamoate,imipramine,
antidepressant,Levomilnacipran HCl,levomilnacipran,
antidepressant,Maprotiline HCl,maprotiline,
antidepressant,Mirtazapine,mirtazapine,
antidepressant,Nefazodone HCl,nefazodone,
antidepressant,Nortriptyline HCl,nortriptyline,
antidepressant,PARoxetine HCl,paroxetine,
antidepressant,PARoxetine Mesylate,paroxetine,
antidepressant,Phenelzine Sulfate,phenelzine,
antidepressant,Protriptyline HCl,protriptyline,
antidepressant,Selegiline,selegiline,
antidepressant,Sertraline HCl,sertraline,
antidepressant,Tranylcypromine Sulfate,tranylcypromine,
antidepressant,TraZODone & Diet Manage Prod,trazodone,
antidepressant,traZODone HCl,trazodone,
antidepressant,Trimipramine Maleate,trimipramine,
antidepressant,Venlafaxine HCl,venlafaxine,
antidepressant,Vilazodone HCl,vilazodone,
antidepressant,Vortioxetine HBr,vortioxetine,
antidepressant,Zuranolone,zuranolone,
antidiabetics,Acarbose,acarbose,TZD
antidiabetics,Alogliptin Benzoate,alogliptin,DPP4i
antidiabetics,Alogliptin-metFORMIN HCl,alogliptin/metformin,
antidiabetics,Alogliptin-Pioglitazone,alogliptin/pioglitazone,
antidiabetics,Bexagliflozin,bexagliflozin,SGLT2i
antidiabetics,Canagliflozin,canagliflozin,SGLT2i
antidiabetics,Canagliflozin-metFORMIN HCl,canagliflozin/metformin,
antidiabetics,ChlorproPAMIDE,chlorpropamide,SU
antidiabetics,Dapagliflozin Prop-metFORMIN,dapagliflozin/metformin,
antidiabetics,Dapagliflozin Propanediol,dapagliflozin,SGLT2i
antidiabetics,Dapagliflozin-sAXagliptin,dapagliflozin/saxagliptin,
antidiabetics,Dulaglutide,dulaglutide,GLP1RA
antidiabetics,Empagliflozin,empagliflozin,SGLT2i
antidiabetics,Empagliflozin-Linaglip-Metform,empagliflozin/linagliptin/metformin,
antidiabetics,Empagliflozin-linaGLIPtin,empagliflozin/linagliptin,
antidiabetics,Empagliflozin-metFORMIN HCl,empagliflozin/metformin,
antidiabetics,Ertugliflozin L-PyroglutamicAc,ertugliflozin,SGLT2i
antidiabetics,Ertugliflozin-metFORMIN HCl,ertugliflozin/metformin,
antidiabetics,Ertugliflozin-SITagliptin,ertugliflozin/sitagliptin,
antidiabetics,Exenatide,exenatide,GLP1RA
antidiabetics,Glimepiride,glimepiride,SU
antidiabetics,glipiZIDE,glipizide,SU
antidiabetics,glipiZIDE-metFORMIN HCl,glipizide/metformin,
antidiabetics,glyBURIDE,glibenclamide,SU
antidiabetics,glyBURIDE Micronized,glibenclamide,SU
antidiabetics,glyBURIDE-metFORMIN,glibenclamide/metformin,
antidiabetics,Insulin Aspart,insulin,Insulins
antidiabetics,Insulin Aspart (w/Niacinamide),insulin,Insulins
antidiabetics,Insulin Aspart Prot & Aspart,insulin,Insulins
antidiabetics,Insulin Degludec,insulin,Insulins
antidiabetics,Insulin Degludec-Liraglutide,insulin/liraglutide,
antidiabetics,Insulin Detemir,insulin,Insulins
antidiabetics,Insulin Glargine,insulin,Insulins
