source_concept_id,source_concept_code,source_vocabulary,source_concept_name,count_records,level
2213558,90885,CPT4,"Psychiatric evaluation of hospital records, other psychiatric reports, psychometric and/or projective tests, and other accumulated data for medical diagnostic purposes",6157,1
2213559,90887,CPT4,"Interpretation or explanation of results of psychiatric, other medical examinations and procedures, or other accumulated data to family or other responsible persons, or advising them how to assist patient",876,1
2213560,90889,CPT4,"Preparation of report of patient's psychiatric status, history, treatment, or progress (other than for legal or consultative purposes) for other individuals, agencies, or insurance carriers",6343,1
43527983,90785,CPT4,Interactive complexity (List separately in addition to the code for primary procedure),4689,2
43527984,90791,CPT4,Psychiatric diagnostic evaluation,45449,2
43527985,90792,CPT4,Psychiatric diagnostic evaluation with medical services,26434,2
43527986,90832,CPT4,"Psychotherapy, 30 minutes with patient",123666,2
43527987,90833,CPT4,"Psychotherapy, 30 minutes with patient when performed with an evaluation and management service (List separately in addition to the code for primary procedure)",61296,2
43527904,90834,CPT4,"Psychotherapy, 45 minutes with patient",240638,2
43527988,90836,CPT4,"Psychotherapy, 45 minutes with patient when performed with an evaluation and management service (List separately in addition to the code for primary procedure)",14222,2
43527905,90837,CPT4,"Psychotherapy, 60 minutes with patient",113158,2
43527989,90838,CPT4,"Psychotherapy, 60 minutes with patient when performed with an evaluation and management service (List separately in addition to the code for primary procedure)",2316,2
43527992,90863,CPT4,"Pharmacologic management, including prescription and review of medication, when performed with psychotherapy services (List separately in addition to the code for primary procedure)",786,2
2213551,90865,CPT4,"Narcosynthesis for psychiatric diagnostic and therapeutic purposes (eg, sodium amobarbital (Amytal) interview)",8,3
40757109,90867,CPT4,"Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; initial, including cortical mapping, motor threshold determination, delivery and management",257,3
40756837,90868,CPT4,"Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent delivery and management, per session",6471,3
42742381,90869,CPT4,Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent motor threshold re-determination with delivery and management,360,3
2213552,90870,CPT4,Electroconvulsive therapy (includes necessary monitoring),8484,3
43527990,90839,CPT4,Psychotherapy for crisis; first 60 minutes,1554,4
43527991,90840,CPT4,Psychotherapy for crisis; each additional 30 minutes (List separately in addition to code for primary service),337,4
2213532,90816,CPT4,"Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an inpatient hospital, partial hospital or residential care setting, approximately 20 to 30 minutes face-to-face with the patient",1419,5
